,Unnamed: 0,BaseDateTime_x,fenzhong,index,MMSI,BaseDateTime_y,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
111,111,2019-02-02 01:51:01.000000,2019-02-02 01:51,,304604000,,33.45285275993041,-77.55959871773865,12.18039575403005,216.8244482931699,214.5658213306965,,,,,,,,,,
112,112,2019-02-02 01:52:01.000000,2019-02-02 01:52,,304604000,,33.45065721540509,-77.56217577083443,12.18565853769962,217.133281095021,214.8663966823117,,,,,,,,,,
113,113,2019-02-02 01:53:01.000000,2019-02-02 01:53,,304604000,,33.44847420643191,-77.56475950455922,12.19084920023551,217.4466740157671,215.1732384507835,,,,,,,,,,
114,114,2019-02-02 01:54:01.000000,2019-02-02 01:54,,304604000,,33.44630348567441,-77.56735014338751,12.19596803788354,217.7644274499588,215.4861277611513,,,,,,,,,,
115,115,2019-02-02 01:55:01.000001,2019-02-02 01:55,,304604000,,33.44414480579609,-77.56994791179372,12.2010153468895,218.0863417921468,215.8048457384544,,,,,,,,,,
116,116,2019-02-02 01:56:01.000000,2019-02-02 01:56,,304604000,,33.44199791946047,-77.57255303425221,12.2059914234992,218.4122174368817,216.1291735077321,,,,,,,,,,
117,117,2019-02-02 01:57:01.000000,2019-02-02 01:57,,304604000,,33.43986257933112,-77.57516573523748,12.21089656395846,218.7418547787142,216.4588921940238,,,,,,,,,,
118,118,2019-02-02 01:58:01.000000,2019-02-02 01:58,,304604000,,33.43773853807152,-77.57778623922388,12.21573106451307,219.0750542121947,216.7937829223686,,,,,,,,,,
119,119,2019-02-02 01:59:01.000001,2019-02-02 01:59,,304604000,,33.43562554834521,-77.58041477068588,12.22049522140885,219.4116161318742,217.1336268178061,,,,,,,,,,
120,120,2019-02-02 02:00:01.000000,2019-02-02 02:00,,304604000,,33.43352336281573,-77.58305155409789,12.22518933089161,219.7513409323032,217.4782050053754,,,,,,,,,,
121,121,2019-02-02 02:01:01.000000,2019-02-02 02:01,,304604000,,33.43143173414661,-77.58569681393435,12.22981368920714,220.0940290080323,217.8272986101159,,,,,,,,,,
122,122,2019-02-02 02:02:01.000000,2019-02-02 02:02,,304604000,,33.42935041500134,-77.58835077466965,12.23436859260127,220.4394807536122,218.1806887570669,,,,,,,,,,
123,123,2019-02-02 02:03:01.000000,2019-02-02 02:03,,304604000,,33.42727915804348,-77.59101366077823,12.23885433731978,220.7874965635934,218.5381565712678,,,,,,,,,,
124,124,2019-02-02 02:04:00.999999,2019-02-02 02:04,,304604000,,33.42521771593653,-77.59368569673452,12.2432712196085,221.1378768325267,218.8994831777577,,,,,,,,,,
125,125,2019-02-02 02:05:01.000000,2019-02-02 02:05,,304604000,,33.42316584134404,-77.59636710701294,12.24761953571323,221.4904219549628,219.2644497015762,,,,,,,,,,
126,126,2019-02-02 02:06:01.000000,2019-02-02 02:06,,304604000,,33.42112328692951,-77.59905811608789,12.25189958187978,221.8449323254521,219.6328372677623,,,,,,,,,,
127,127,2019-02-02 02:07:01.000000,2019-02-02 02:07,,304604000,,33.4190898053565,-77.60175894843383,12.25611165435395,222.2012083385455,220.0044270013556,,,,,,,,,,
128,128,2019-02-02 02:08:00.999999,2019-02-02 02:08,,304604000,,33.41706514928851,-77.60446982852518,12.26025604938155,222.5590503887935,220.3790000273953,,,,,,,,,,
129,129,2019-02-02 02:09:00.999999,2019-02-02 02:09,,304604000,,33.41504907138907,-77.60719098083632,12.26433306320839,222.9182588707467,220.7563374709206,,,,,,,,,,
130,130,2019-02-02 02:10:01.000000,2019-02-02 02:10,,304604000,,33.4130413243217,-77.6099226298417,12.26834299208028,223.2786341789559,221.1362204569711,,,,,,,,,,
131,131,2019-02-02 02:11:01.000000,2019-02-02 02:11,,304604000,,33.41104166074994,-77.61266500001577,12.27228613224302,223.6399767079718,221.5184301105859,,,,,,,,,,
132,132,2019-02-02 02:12:01.000000,2019-02-02 02:12,,304604000,,33.40904983333732,-77.61541831583291,12.27616277994242,224.0020868523447,221.9027475568043,,,,,,,,,,
133,133,2019-02-02 02:13:01.000000,2019-02-02 02:13,,304604000,,33.40706559474734,-77.61818280176757,12.2799732314243,224.3647650066256,222.2889539206657,,,,,,,,,,
134,134,2019-02-02 02:14:01.000000,2019-02-02 02:14,,304604000,,33.40508869764355,-77.62095868229416,12.28371778293444,224.727811565365,222.6768303272094,,,,,,,,,,
135,135,2019-02-02 02:15:01.000000,2019-02-02 02:15,,304604000,,33.40311889468947,-77.6237461818871,12.28739673071867,225.0910269231134,223.0661579014747,,,,,,,,,,
136,136,2019-02-02 02:16:01.000000,2019-02-02 02:16,,304604000,,33.40115593854862,-77.62654552502083,12.29101037102279,225.4542114744217,223.456717768501,,,,,,,,,,
137,137,2019-02-02 02:17:01.000000,2019-02-02 02:17,,304604000,,33.39919958188452,-77.62935693616976,12.29455900009261,225.8171656138404,223.8482910533274,,,,,,,,,,
